job,release,pm,stage,stage_group,fab_order,job_comp,invoiced
380,v542,GA,Shipping completed,COMPLETE,1.0,X,
320,V708,DR,Shipping completed,COMPLETE,,X,O
320,V116,DR,Shipping completed,COMPLETE,,X,O
