job,release,job_name,description,stage,trello_list,trello_card_id,trello_card_url,created_at
170,454,Garrett -Banyan High Point,Bld 3 Garage Rail,Released,Released,69ce90b544e28471ba8c63f6,https://trello.com/c/Wec2YAig/7151-170-454-garrett-banyan-high-point-bld-3-garage-rail,2026-04-02T09:52:54
190,475,Hinton - Metro Center,RFI 263 Bld 2 Sidewalk chases,Cut start,Released,69ce90fe6036a347902feedb,https://trello.com/c/oLEqEpaX/7153-190-475-hinton-metro-center-rfi-263-bld-2-sidewalk-chases,2026-04-02T09:54:09
340,481,AMLI - Littleton Village II,Garage Awning,Released,Released,69ce9141b4e8875d340fc00c,https://trello.com/c/sdywLQwi/7155-340-481-amli-littleton-village-ii-garage-awning,2026-04-02T09:55:12
400,497,Mountain West Contractors - Fieldhouse (Idaho Springs),Bld 1 Ramp Rails,Released,Released,69ce9171ed9bcc273cd42620,https://trello.com/c/nmERVfwM/7157-400-497-mountain-west-contractors-fieldhouse-idaho-springs-bld-1-ramp-rails,2026-04-02T09:55:56
420,500,Thompson Thrift - The Stacks at Wheat Ridge,Clubhouse Bracket,Released,Released,69ce91a136ba02b86bd09cec,https://trello.com/c/kLnEo3PG/7159-420-500-thompson-thrift-the-stacks-at-wheat-ridge-clubhouse-bracket,2026-04-02T09:56:47
440,492,Evergreen - Outlook Green Valley Ranch,Trash Enclosure E,Released,Released,69ce91c94549a1981c7347cc,https://trello.com/c/QVVzwabE/7161-440-492-evergreen-outlook-green-valley-ranch-trash-enclosure-e,2026-04-02T09:57:34
440,V936,Evergreen - Outlook Green Valley Ranch,Building 15 Missing Riser Pans,Released,Released,69ce92154d20126c428cb2d0,https://trello.com/c/Vfx1TZ5Z/7163-440-v936-evergreen-outlook-green-valley-ranch-building-15-missing-riser-pans,2026-04-02T09:58:45
480,493,Wood Partners - Alta Flatirons,CO#07 Additional HD Embeds 2,Released,Released,69ce923be0dc5b0814dc7de7,https://trello.com/c/eBaCx8a2/7165-480-493-wood-partners-alta-flatirons-co07-additional-hd-embeds-2,2026-04-02T09:59:24
480,495,Wood Partners - Alta Flatirons,Area 6 Extended Clips,Released,Released,69ce9267eb84b0b0ec044f92,https://trello.com/c/HLTxVF5C/7167-480-495-wood-partners-alta-flatirons-area-6-extended-clips,2026-04-02T10:00:09
480,V547,Wood Partners - Alta Flatirons,EP1 Embeds,Shipping completed,Shipping completed,69ce928c77998695ce221f32,https://trello.com/c/WSroinP3/7169-480-v547-wood-partners-alta-flatirons-ep1-embeds,2026-04-02T10:00:21
550,480,New Generation Construction - 4th St. North,Bld A Storefront Supports To Embeds & Channel,Released,Released,69ce929a734eedcb760a30dd,https://trello.com/c/1G4BO1q7/7171-550-480-new-generation-construction-4th-st-north-bld-a-storefront-supports-to-embeds-channel,2026-04-02T10:00:57
