Job,Release,Identifier,Job Name,Description,Stage,Stage Group,DB Job Comp,DB Invoiced,CSV Job Comp,CSV Invoiced
470,705,470-705,Bryan Construction - Olde Course Maintenance,Bollards,Shipping completed,COMPLETE,,MFP,X,X
470,786,470-786,Bryan Construction - Olde Course Maintenance,Parking Structure Template,Shipping completed,COMPLETE,,,X,X
480,276,480-276,Wood Partners - Alta Flatirons,Area 6 Structural Steel Embeds,Shipping completed,COMPLETE,,,X,X
480,753,480-753,Wood Partners - Alta Flatirons,Hold Down Embeds - Droped Shipped,Shipping completed,COMPLETE,,,X,X
480,840,480-840,Wood Partners - Alta Flatirons,Embed EP-6,Shipping completed,COMPLETE,O,,X,X
480,857,480-857,Wood Partners - Alta Flatirons,Hold Down Embed Extra,Shipping completed,COMPLETE,,,X,X
480,V902,480-V902,Wood Partners - Alta Flatirons,Elevator Hoist Beams,Shipping completed,COMPLETE,,,X,X
500,149,500-149,Brinkman - Novel Flatiron,"PT,CMU,Hanger Embeds",Complete,COMPLETE,,,X,X
500,156,500-156,Brinkman - Novel Flatiron,Canopy Embeds,Complete,COMPLETE,,,X,X
500,166,500-166,Brinkman - Novel Flatiron,Mockup Lintels,Complete,COMPLETE,,,X,X
500,175,500-175,Brinkman - Novel Flatiron,Ultralox Mockup,Shipping completed,COMPLETE,,,X,X
500,199,500-199,Brinkman - Novel Flatiron,Garage Entry Steel Embeds,Shipping completed,COMPLETE,,,X,X
500,877,500-877,Brinkman - Novel Flatiron,Mockup Canopy,Shipping completed,COMPLETE,,,X,X
500,892,500-892,Brinkman - Novel Flatiron,Hold Down Embeds,Shipping completed,COMPLETE,,,X,X
510,818,510-818,W.E. O'Neill - Idaho Springs Police Dept.,Structural Steel Columns & Beams,Shipping completed,COMPLETE,,,X,X
